doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
return-refund-policy,data/k4_ecommerce/returns-policy.md,Chính sách trả hàng và hoàn tiền,https://help.shopee.vn/portal/4/article/77251-CH%C3%8DNH-S%C3%81CH-TR%E1%BA%A2-H%C3%80NG-V%C3%80-HO%C3%80N-TI%E1%BB%80N,2026-08-03,2026-03-11,public-help-center-page
return-refund-general-rules,data/k4_ecommerce/return-refund-general-rules.md,Những quy định chung về trả hàng/hoàn tiền của Shopee,https://help.shopee.vn/portal/4/article/188931-%5BTr%E1%BA%A3-h%C3%A0ng/Ho%C3%A0n-ti%E1%BB%81n%5D-Nh%E1%BB%AFng-quy-%C4%91%E1%BB%8Bnh-chung-v%E1%BB%81-Tr%E1%BA%A3-h%C3%A0ng/Ho%C3%A0n-ti%E1%BB%81n-c%E1%BB%A7a-Shopee,2026-08-03,not-stated,public-help-center-page
return-shipping-fee,data/k4_ecommerce/return-shipping-fee.md,Các phương thức gửi hàng hoàn trả và phí hoàn trả,https://help.shopee.vn/portal/4/article/189477-%5BTr%E1%BA%A3-h%C3%A0ng/-Ho%C3%A0n-ti%E1%BB%81n%5D-C%C3%A1c-ph%C6%B0%C6%A1ng-th%E1%BB%A9c-g%E1%BB%ADi-h%C3%A0ng-ho%C3%A0n-tr%E1%BA%A3-v%C3%A0-ph%C3%AD-ho%C3%A0n-tr%E1%BA%A3,2026-08-03,not-stated,public-help-center-page
seller-listing-rules,data/k4_ecommerce/seller-listing.md,Quy định về đăng bán sản phẩm trên Shopee,https://help.shopee.vn/portal/4/article/77246-QUY-%C4%90%E1%BB%8ANH-V%E1%BB%80-%C4%90%C4%82NG-B%C3%81N-S%E1%BA%A2N-PH%E1%BA%A8M-TR%C3%8AN-SHOPEE,2026-08-03,2024-08-21,public-help-center-page
marketplace-operating-regulation,data/k4_ecommerce/marketplace-operating-regulation.md,Quy chế hoạt động sàn thương mại điện tử Shopee.vn,https://help.shopee.vn/portal/4/article/77245,2026-08-03,2025-01-10,public-help-center-page
restricted-products-policy,data/k4_ecommerce/restricted-products-policy.md,Chính sách cấm/hạn chế sản phẩm,https://help.shopee.vn/portal/4/article/77247,2026-08-03,2025-05-05,public-help-center-page
payment-methods,data/k4_ecommerce/payment-methods.md,Shopee hiện đang có những phương thức thanh toán nào,https://help.shopee.vn/portal/4/article/79198-%5BTh%C3%A0nh-vi%C3%AAn-m%E1%BB%9Bi%5D-Shopee-hi%E1%BB%87n-%C4%91ang-c%C3%B3-nh%E1%BB%AFng-ph%C6%B0%C6%A1ng-th%E1%BB%A9c-thanh-to%C3%A1n-n%C3%A0o,2026-08-03,not-stated,public-help-center-page
shipping-fee-discount-program,data/k4_ecommerce/shipping-fee-discount-program.md,Điều khoản và điều kiện chương trình ưu đãi phí vận chuyển,https://help.shopee.vn/portal/4/article/77263,2026-08-03,2024-07-03,public-help-center-page
delivery-process,data/k4_ecommerce/delivery-process.md,Đơn vị vận chuyển giao hàng cho người mua như thế nào,https://help.shopee.vn/portal/4/article/79569-%5BGiao/nh%E1%BA%ADn-h%C3%A0ng%5D-%C4%90%C6%A1n-v%E1%BB%8B-v%E1%BA%ADn-chuy%E1%BB%83n-giao-h%C3%A0ng-cho-Ng%C6%B0%E1%BB%9Di-mua-nh%C6%B0-th%E1%BA%BF-n%C3%A0o,2026-08-03,2023-05-19,public-help-center-page
privacy-policy,data/k4_ecommerce/privacy-policy.md,Chính sách bảo mật,https://help.shopee.vn/portal/4/article/77244,2026-08-03,2026-06-11,public-help-center-page
