doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
asos-collusion-x008-y2k-flare-jeans-co-ord-in-pink-tint-dirty-wash,data/k4_asos_products/asos-collusion-x008-y2k-flare-jeans-co-ord-in-pink-tint-dirty-wash.md,COLLUSION x008 Y2K flare jeans co-ord in pink tint dirty wash,https://www.asos.com/collusion/collusion-x008-y2k-flare-jeans-co-ord-in-pink-tint-dirty-wash/prd/203107841?clr=light-blue&colourWayId=203107842,2026-08-03,not-stated,cc-by-nc-nd-4.0 via https://huggingface.co/datasets/UniqueData/asos-e-commerce-dataset
asos-in-the-style-split-detail-straight-leg-jean-in-blue-wash,data/k4_asos_products/asos-in-the-style-split-detail-straight-leg-jean-in-blue-wash.md,In The Style split detail straight leg jean in blue wash,https://www.asos.com/in-the-style/in-the-style-split-detail-straight-leg-jean-in-blue-wash/prd/204135988?clr=denim&colourWayId=204135989,2026-08-03,not-stated,cc-by-nc-nd-4.0 via https://huggingface.co/datasets/UniqueData/asos-e-commerce-dataset
asos-public-desire-cut-out-midi-beach-dress-in-black,data/k4_asos_products/asos-public-desire-cut-out-midi-beach-dress-in-black.md,Public Desire cut out midi beach dress in black,https://www.asos.com/public-desire/public-desire-cut-out-midi-beach-dress-in-black/prd/201327929?clr=black&colourWayId=201327964,2026-08-03,not-stated,cc-by-nc-nd-4.0 via https://huggingface.co/datasets/UniqueData/asos-e-commerce-dataset
asos-asos-edition-satin-cami-maxi-dress-with-full-skirt-in-dusky-blue,data/k4_asos_products/asos-asos-edition-satin-cami-maxi-dress-with-full-skirt-in-dusky-blue.md,ASOS EDITION satin cami maxi dress with full skirt in dusky blue,https://www.asos.com/asos-edition/asos-edition-satin-cami-maxi-dress-with-full-skirt-in-dusky-blue/prd/201406842?clr=dusky-blue&colourWayId=201406865,2026-08-03,not-stated,cc-by-nc-nd-4.0 via https://huggingface.co/datasets/UniqueData/asos-e-commerce-dataset
asos-new-look-ruched-button-vest-in-brown,data/k4_asos_products/asos-new-look-ruched-button-vest-in-brown.md,New Look ruched button vest in brown,https://www.asos.com/new-look/new-look-ruched-button-vest-in-brown/prd/202978545?clr=dark-brown&colourWayId=202978547,2026-08-03,not-stated,cc-by-nc-nd-4.0 via https://huggingface.co/datasets/UniqueData/asos-e-commerce-dataset
asos-adidas-originals-plus-three-stripe-bralet-in-black,data/k4_asos_products/asos-adidas-originals-plus-three-stripe-bralet-in-black.md,adidas Originals Plus three stripe bralet in black,https://www.asos.com/adidas-originals/adidas-originals-plus-three-stripe-bralet-in-black/prd/202215748?clr=black&colourWayId=202215750,2026-08-03,not-stated,cc-by-nc-nd-4.0 via https://huggingface.co/datasets/UniqueData/asos-e-commerce-dataset
asos-bershka-white-suit-blazer-in-white,data/k4_asos_products/asos-bershka-white-suit-blazer-in-white.md,Bershka white suit blazer in white,https://www.asos.com/bershka/bershka-white-suit-blazer-in-white/prd/203118334?clr=white&colourWayId=203118335,2026-08-03,not-stated,cc-by-nc-nd-4.0 via https://huggingface.co/datasets/UniqueData/asos-e-commerce-dataset
asos-miss-selfridge-boucle-cropped-blazer-co-ord-in-mono-check,data/k4_asos_products/asos-miss-selfridge-boucle-cropped-blazer-co-ord-in-mono-check.md,Miss Selfridge boucle cropped blazer co-ord in mono check,https://www.asos.com/miss-selfridge/miss-selfridge-boucle-cropped-blazer-co-ord-in-mono-check/prd/202994919?clr=mono&colourWayId=202994922,2026-08-03,not-stated,cc-by-nc-nd-4.0 via https://huggingface.co/datasets/UniqueData/asos-e-commerce-dataset
asos-asos-design-cowl-neck-sleeveless-blouse-with-skinny-tie-waist-detail-in,data/k4_asos_products/asos-asos-design-cowl-neck-sleeveless-blouse-with-skinny-tie-waist-detail-in.md,ASOS DESIGN cowl neck sleeveless blouse with skinny tie waist detail in green,https://www.asos.com/asos-design/asos-design-cowl-neck-sleeveless-blouse-with-skinny-tie-waist-detail-in-green/prd/202446422?clr=green&colourWayId=202446436,2026-08-03,not-stated,cc-by-nc-nd-4.0 via https://huggingface.co/datasets/UniqueData/asos-e-commerce-dataset
asos-asos-luxe-cotton-corset-top-with-cutwork-detail-and-embellishment-in-pale,data/k4_asos_products/asos-asos-luxe-cotton-corset-top-with-cutwork-detail-and-embellishment-in-pale.md,ASOS LUXE cotton corset top with cutwork detail and embellishment in pale blue,https://www.asos.com/asos-luxe/asos-luxe-cotton-corset-top-with-cutwork-detail-and-embellishment-in-pale-blue/prd/201783305?clr=blue&colourWayId=201783314,2026-08-03,not-stated,cc-by-nc-nd-4.0 via https://huggingface.co/datasets/UniqueData/asos-e-commerce-dataset
