doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
cach-dong-goi-hang-hoan-tra,data/k4_ecommerce/cach-dong-goi-hang-hoan-tra.md,Cách đóng gói đơn hàng hoàn trả,https://help.shopee.vn/portal/4/article/79508,2026-08-03,not-stated,public-page
chinh-sach-tra-hang-hoan-tien,data/k4_ecommerce/chinh-sach-tra-hang-hoan-tien.md,CHÍNH SÁCH TRẢ HÀNG VÀ HOÀN TIỀN,https://help.shopee.vn/portal/4/article/77251,2026-08-03,2026-03-11,public-page
chuan-bi-bang-chung,data/k4_ecommerce/chuan-bi-bang-chung.md,Hướng dẫn chuẩn bị bằng chứng khi yêu cầu Trả hàng/Hoàn tiền,https://help.shopee.vn/portal/4/article/79467,2026-08-03,not-stated,public-page
huong-dan-gui-yeu-cau,data/k4_ecommerce/huong-dan-gui-yeu-cau.md,Hướng dẫn gửi yêu cầu Trả hàng/Hoàn tiền,https://help.shopee.vn/portal/4/article/79233,2026-08-03,not-stated,public-page
phuong-thuc-gui-hang-va-phi-hoan-tra,data/k4_ecommerce/phuong-thuc-gui-hang-va-phi-hoan-tra.md,Các phương thức gửi hàng hoàn trả và phí hoàn trả,https://help.shopee.vn/portal/4/article/189477,2026-08-03,not-stated,public-page
quan-ly-don-tra-hang-hoan-tien,data/k4_ecommerce/quan-ly-don-tra-hang-hoan-tien.md,Quản lý đơn trả hàng hoàn tiền,https://help.shopee.vn/portal/1/article/102521,2026-08-03,not-stated,public-page
quy-dinh-chung-tra-hang-hoan-tien,data/k4_ecommerce/quy-dinh-chung-tra-hang-hoan-tien.md,Những quy định chung về Trả hàng/Hoàn tiền của Shopee,https://help.shopee.vn/portal/4/article/188931,2026-08-03,not-stated,public-page
quy-trinh-xu-ly-yeu-cau,data/k4_ecommerce/quy-trinh-xu-ly-yeu-cau.md,Quy trình Shopee xử lý yêu cầu Trả hàng/Hoàn tiền,https://help.shopee.vn/portal/4/article/190242,2026-08-03,not-stated,public-page
san-pham-han-che-tra-hang,data/k4_ecommerce/san-pham-han-che-tra-hang.md,Sản phẩm hạn chế trả hàng là gì,https://help.shopee.vn/portal/4/article/79465,2026-08-03,not-stated,public-page
thoi-gian-nhan-tien-hoan,data/k4_ecommerce/thoi-gian-nhan-tien-hoan.md,Thời gian nhận tiền hoàn và cách kiểm tra tiền hoàn,https://help.shopee.vn/portal/4/article/189473,2026-08-03,not-stated,public-page
