doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
cach-dong-goi-don-hoan-tra,data\k4_shopee\cach-dong-goi-don-hoan-tra.md,Cách đóng gói đơn hàng hoàn trả,https://help.shopee.vn/portal/4/article/79508,2026-08-03,not-stated,public-page
chinh-sach-tra-hang-hoan-tien,data\k4_shopee\chinh-sach-tra-hang-hoan-tien.md,Chính sách trả hàng và hoàn tiền,https://help.shopee.vn/portal/4/article/77251?seo=1,2026-08-03,not-stated,public-page
chinh-sach-van-chuyen,data\k4_shopee\chinh-sach-van-chuyen.md,Chính sách vận chuyển Shopee,https://help.shopee.vn/portal/4/article/77250,2026-08-03,not-stated,public-page
dieu-khoan-dich-vu-shopee-mall,data\k4_shopee\dieu-khoan-dich-vu-shopee-mall.md,Điều khoản dịch vụ Shopee Mall,https://help.shopee.vn/portal/4/article/77262,2026-08-03,not-stated,public-page
huong-dan-gui-yeu-cau-thht,data\k4_shopee\huong-dan-gui-yeu-cau-thht.md,Hướng dẫn gửi yêu cầu trả hàng hoàn tiền,https://help.shopee.vn/portal/4/article/79233?seo=1,2026-08-03,not-stated,public-page
huong-dan-thanh-toan-nhieu-don,data\k4_shopee\huong-dan-thanh-toan-nhieu-don.md,Hướng dẫn thanh toán nhiều đơn hàng,https://help.shopee.vn/portal/4/article/79596-H%C6%B0%E1%BB%9Bng%20D%E1%BA%ABn%20Thanh%20To%C3%A1n%20Nhi%E1%BB%81u%20%C4%90%C6%A1n%20H%C3%A0ng,2026-08-03,not-stated,public-page
phan-hoi-de-xuat-hoan-tien,data\k4_shopee\phan-hoi-de-xuat-hoan-tien.md,Hướng dẫn phản hồi đề xuất hoàn tiền ngay,https://help.shopee.vn/portal/4/article/190387-%5BTr%E1%BA%A3-h%C3%A0ng/-Ho%C3%A0n-ti%E1%BB%81n%5D-H%C6%B0%E1%BB%9Bng-d%E1%BA%ABn-Ng%C6%B0%E1%BB%9Di-mua-tr%E1%BA%A3-l%E1%BB%9Di-%C4%91%E1%BB%81-xu%E1%BA%A5t-Ho%C3%A0n-Ti%E1%BB%81n-Ngay-c%E1%BB%A7a-Ng%C6%B0%E1%BB%9Di-b%C3%A1n,2026-08-03,not-stated,public-page
quy-dinh-chung-tra-hang-hoan-tien,data\k4_shopee\quy-dinh-chung-tra-hang-hoan-tien.md,Quy định chung về trả hàng hoàn tiền,https://help.shopee.vn/portal/4/article/188931-%5BTr%E1%BA%A3-h%C3%A0ng/Ho%C3%A0n-ti%E1%BB%81n%5D-Nh%E1%BB%AFng-quy-%C4%91%E1%BB%8Bnh-chung-v%E1%BB%81-Tr%E1%BA%A3-h%C3%A0ng/Ho%C3%A0n-ti%E1%BB%81n-c%E1%BB%A7a-Shopee,2026-08-03,not-stated,public-page
quy-trinh-xu-ly-thht,data\k4_shopee\quy-trinh-xu-ly-thht.md,Quy trình Shopee xử lý yêu cầu trả hàng hoàn tiền,https://help.shopee.vn/portal/4/article/190242-%5BTr%E1%BA%A3-h%C3%A0ng/-Ho%C3%A0n-ti%E1%BB%81n%5D-Quy-tr%C3%ACnh-Shopee-x%E1%BB%AD-l%C3%BD-y%C3%AAu-c%E1%BA%A7u-Tr%E1%BA%A3-h%C3%A0ng/-Ho%C3%A0n-ti%E1%BB%81n,2026-08-03,not-stated,public-page
shopee-dam-bao,data\k4_shopee\shopee-dam-bao.md,Shopee Đảm Bảo là gì,https://help.shopee.vn/portal/4/article/79314-%5BMua-s%E1%BA%AFm-an-to%C3%A0n%5D-Shopee-%C4%90%E1%BA%A3m-B%E1%BA%A3o-l%C3%A0-g%C3%AC,2026-08-03,not-stated,public-page
