url,doc_id,title,document_version,license_or_permission,customer_role,category,language
https://help.shopee.vn/portal/4/article/77251,chinh-sach-tra-hang-hoan-tien,CHÍNH SÁCH TRẢ HÀNG VÀ HOÀN TIỀN,not-stated,public-page,both,returns-refunds,vi
https://help.shopee.vn/portal/4/article/188931,quy-dinh-chung-tra-hang-hoan-tien,Những quy định chung về Trả hàng/Hoàn tiền của Shopee,not-stated,public-page,both,returns-refunds,vi
https://help.shopee.vn/portal/4/article/190242,quy-trinh-xu-ly-yeu-cau,Quy trình Shopee xử lý yêu cầu Trả hàng/Hoàn tiền,not-stated,public-page,both,returns-refunds,vi
https://help.shopee.vn/portal/4/article/79465,san-pham-han-che-tra-hang,Sản phẩm hạn chế trả hàng là gì,not-stated,public-page,both,returns-refunds,vi
https://help.shopee.vn/portal/4/article/79233,huong-dan-gui-yeu-cau,Hướng dẫn gửi yêu cầu Trả hàng/Hoàn tiền,not-stated,public-page,buyer,returns-refunds,vi
https://help.shopee.vn/portal/4/article/79467,chuan-bi-bang-chung,Hướng dẫn chuẩn bị bằng chứng khi yêu cầu Trả hàng/Hoàn tiền,not-stated,public-page,buyer,returns-refunds,vi
https://help.shopee.vn/portal/4/article/189477,phuong-thuc-gui-hang-va-phi-hoan-tra,Các phương thức gửi hàng hoàn trả và phí hoàn trả,not-stated,public-page,buyer,returns-refunds,vi
https://help.shopee.vn/portal/4/article/189473,thoi-gian-nhan-tien-hoan,Thời gian nhận tiền hoàn và cách kiểm tra tiền hoàn,not-stated,public-page,buyer,returns-refunds,vi
https://help.shopee.vn/portal/4/article/79508,cach-dong-goi-hang-hoan-tra,Cách đóng gói đơn hàng hoàn trả,not-stated,public-page,buyer,returns-refunds,vi
https://help.shopee.vn/portal/1/article/102521,quan-ly-don-tra-hang-hoan-tien,Quản lý đơn trả hàng hoàn tiền,not-stated,public-page,seller,returns-refunds,vi
